Price,Close,High,Low,Open,Volume
Ticker,XLP,XLP,XLP,XLP,XLP
Date,,,,,
2015-01-02,36.606117248535156,36.89381867755258,36.37898575747239,36.81053645693172,7612100
2015-01-05,36.34869384765625,36.62125274013947,36.25027204947413,36.53797053542148,8272700
2015-01-06,36.30327224731445,36.696968136502285,36.19727775563567,36.60611323952051,11112400
2015-01-07,36.924095153808594,36.96952259682605,36.530399312056076,36.56825407050416,9226100
2015-01-08,37.48435592651367,37.52978337367119,37.173942257937,37.249654669866196,12904100
2015-01-09,37.18151092529297,37.60548883374777,37.18151092529297,37.60548883374777,6382800
2015-01-12,37.06794738769531,37.36321857084585,36.96952558540058,37.16637207812322,6256400
2015-01-13,37.060367584228516,37.52220305907796,36.840805983376754,37.3177839363676,10135000
2015-01-14,36.946807861328125,36.98466262021685,36.689391457498616,36.78024634459113,13315500
2015-01-15,37.00739288330078,37.23452441742491,36.86354069745265,37.18909695534642,10898400
2015-01-16,37.302642822265625,37.34049757493717,36.84837712580963,36.916516835871406,12948500
2015-01-20,37.454063415527344,37.6206248991027,37.14364983342896,37.4464907323775,9978200
2015-01-21,37.635765075683594,37.643337758370336,37.1890721055292,37.37834873884661,7588600
2015-01-22,38.01431655883789,38.021889241169355,37.461629162056795,37.79475498133891,12062000
2015-01-23,37.59035110473633,37.89319207034177,37.5827784199197,37.83262503247389,6423700
2015-01-26,37.59035110473633,37.64334834592061,37.38593193668281,37.5752086232361,4428600
2015-01-27,37.158809661865234,37.32537122321187,36.98467252569916,37.21180691613013,10344800
2015-01-28,36.72724533081055,37.40864252690952,36.69696325730952,37.29507536484872,7765700
2015-01-29,37.022518157958984,37.0679427107843,36.560682616682875,36.87109624289804,9765600
2015-01-30,36.356258392333984,36.84837593745835,36.30326116267648,36.82566366421439,10951600
2015-02-02,36.78781509399414,36.810527371054306,36.098848104551216,36.42440422036706,14354100
2015-02-03,37.113365173339844,37.128507651628,36.80295158876368,37.01494050853304,6279600
2015-02-04,37.128517150878906,37.39350336838674,37.045234943052684,37.045234943052684,7901300
2015-02-05,37.31779098510742,37.332933466109,37.151226582222996,37.24207858009953,8079500
2015-02-06,37.15121841430664,37.46920466916275,37.007369208617156,37.32535257534096,6304100
2015-02-09,36.87109375,37.12093743804544,36.77266907864507,37.090655367586905,5656100
2015-02-10,37.302642822265625,37.34049757493717,36.99222922934698,37.219360633508735,5055100
2015-02-11,37.476783752441406,37.560065956214785,37.20422486304964,37.32536182632009,4618000
2015-02-12,37.65092086791992,37.65092086791992,37.45407437043455,37.56763865770691,7150600
2015-02-13,37.476783752441406,37.59035091906565,37.393501548668034,37.56763575286099,5932000
2015-02-17,37.48435592651367,37.52221357654487,37.24208198460667,37.42378888510353,4887500
2015-02-18,37.688777923583984,37.688777923583984,37.393506715323,37.47678893060347,5251200
2015-02-19,37.44649124145508,37.628198093800385,37.40106669446808,37.620625410547596,4380200
2015-02-20,37.552490234375,37.56763271457579,37.17393689375375,37.31778901159481,5898000
2015-02-23,37.658485412597656,37.66605520819281,37.49192102817808,37.49192102817808,4710600
2015-02-24,37.78719711303711,37.817482075656926,37.55249298493307,37.69634511331068,4275800
2015-02-25,37.658485412597656,37.817477113289456,37.61305797462887,37.779622359048446,3282600
2015-02-26,37.71148681640625,37.749341574833345,37.56006489456493,37.65848957698173,4124200
2015-02-27,37.86289978027344,37.93861217312303,37.68119581369936,37.703908087488,4578900
2015-03-02,37.93104553222656,37.961330494190825,37.809908572502444,37.8931907738377,5511200
2015-03-03,37.78719711303711,37.938619038003175,37.62063270676114,37.93104635328172,5818200
2015-03-04,37.522216796875,37.72663599442821,37.43136189476238,37.71149351074277,3635800
2015-03-05,37.65092086791992,37.711490798305114,37.52978389528279,37.62063590272733,5336300
2015-03-06,36.9165153503418,37.45406321392362,36.83323605306858,37.37835082349472,12065500
2015-03-09,37.12093734741211,37.18907706000952,36.94680316813709,37.06037031851031,6436500
2015-03-10,36.59096908569336,36.92409500205347,36.583396401155106,36.901382724704554,7996200
2015-03-11,36.31083679199219,36.643965589802214,36.272982034459105,36.643965589802214,8699500
2015-03-12,36.840824127197266,36.840824127197266,36.43955836729316,36.47741313722366,9905500
2015-03-13,36.55310821533203,36.78024252131995,36.33354948134714,36.76510004171191,5821400
2015-03-16,36.99980163574219,37.00737431969041,36.66667574533809,36.66667574533809,22130500
2015-03-17,36.73480987548828,36.90137423943423,36.62881542138896,36.87108928451092,7487500
2015-03-18,36.98466873168945,37.136090680398816,36.219992078500674,36.6439729572602,19747300
2015-03-19,36.81809616088867,36.98465765526586,36.74995644878309,36.90137835214356,20386700
2015-03-20,37.27971267700195,37.287331736570636,36.94454670147545,36.997868495176945,7951000
2015-03-23,37.340641021728516,37.53107676567502,37.211143204819095,37.241613621247055,4669300
2015-03-24,37.12736511230469,37.531088081332086,37.12736511230469,37.43206065099376,6939800
2015-03-25,37.03596115112305,37.599652513063596,37.03596115112305,37.54633071061493,18476700
2015-03-26,36.8759880065918,37.08165901823506,36.7921957900905,36.85313664057133,7616000
2015-03-27,37.104515075683594,37.15022071932315,36.868376514762666,36.88360882348913,4950100
2015-03-30,37.4777717590332,37.50824218909497,37.03595924059798,37.180692330481314,25326800
2015-03-31,37.12736511230469,37.477766289416,37.12736511230469,37.3254170671616,7411800
2015-04-01,37.17307662963867,37.18069569075277,36.81505921442693,37.1121386698279,8033400
2015-04-02,37.4244499206543,37.49300693531235,37.13498664700696,37.18830844664988,4821000
