Price,Close,High,Low,Open,Volume
Ticker,XLV,XLV,XLV,XLV,XLV
Date,,,,,
2015-01-02,57.79949188232422,58.40586965263983,57.56367973284574,57.86686861800355,7516800
2015-01-05,57.504722595214844,58.010035225981134,57.39524022659174,57.53841096065243,10784800
2015-01-06,57.31104278564453,58.18691489505513,56.95731803620454,57.69844948703025,13344500
2015-01-07,58.65854263305664,58.675383608133906,57.5721166166548,57.69844641863653,14146400
2015-01-08,59.66072463989258,59.72810136857668,59.13857105608703,59.239629723714685,22138400
2015-01-09,59.13017272949219,59.778662776875365,58.928048882113586,59.71128601928208,9724300
2015-01-12,59.15544128417969,59.79550767246217,58.99542950616032,59.584960110235194,11972100
2015-01-13,58.89436340332031,60.03974263720049,58.39746782335389,59.711288959511485,14219800
2015-01-14,58.801734924316406,58.953329457079306,58.17009210870484,58.33011034478873,12548000
2015-01-15,58.170066833496094,59.13016298202646,58.1363784602529,59.02068058803622,16382800
2015-01-16,59.26491928100586,59.374401680179744,58.06058718849116,58.07742816321003,13759300
2015-01-20,59.26491928100586,59.50915517953268,58.57432366032334,59.35756070546088,10387200
2015-01-21,59.382816314697266,59.61020477839097,58.91118556436293,59.20595719284671,8391000
2015-01-22,60.090274810791016,60.09869851264998,58.818565696965585,59.64391499329383,11497400
2015-01-23,59.74496078491211,60.06499067245803,59.71969611292161,60.00603762934694,6815600
2015-01-26,60.05656814575195,60.09025651753021,59.44177303064857,59.803914995514916,7871700
2015-01-27,59.6270637512207,60.0481588160587,59.374404142157594,59.51757492210633,10040100
2015-01-28,58.76803207397461,59.95552335928329,58.675390636451176,59.73655210464596,11005400
2015-01-29,59.26491928100586,59.31544863056296,58.29639938695829,58.76802378389255,12120000
2015-01-30,58.33850860595703,59.39966998938786,58.25429087640875,59.01226329314506,13886500
2015-02-02,58.66696548461914,58.69223015956988,57.639492533952115,58.4479942593785,18042300
2015-02-03,59.06278991699219,59.08806101754991,58.17007045930397,58.95330751617779,17432800
2015-02-04,58.32164001464844,58.64166980555672,58.001610223740165,58.35532837559634,15184800
2015-02-05,59.30702590942383,59.35756168521557,58.69223072832966,58.69223072832966,10801400
2015-02-06,58.76803207397461,59.55126922959909,58.60801387727024,59.30703329661927,11886100
2015-02-09,58.07743835449219,58.66697537951098,57.942691256894676,58.49853347576206,8139000
2015-02-10,59.05437088012695,59.11332392886805,58.414304618509036,58.54905169045994,8629000
2015-02-11,59.11333084106445,59.43336079659471,58.77645348369508,59.104907140144896,8088100
2015-02-12,59.32387161254883,59.4923070593007,58.82697612145009,59.39124193600932,10124100
2015-02-13,59.5597038269043,59.61023319283331,59.096496554546405,59.36599721517211,8592300
2015-02-17,59.98921585083008,60.01448053090434,59.55969701336205,59.61865007533594,8381700
2015-02-18,60.05656814575195,60.09025651753021,59.686008906990985,59.980774128300816,7780900
2015-02-19,60.157657623291016,60.258722779554404,59.888156965324505,59.98922212158789,5383600
2015-02-20,60.789268493652344,60.814533163109935,59.9639195474423,60.07340834895743,8213700
2015-02-23,61.06719970703125,61.26089981200441,60.77243448724608,60.88191687590918,8577500
2015-02-24,60.99141311645508,61.18511969082122,60.76402458823525,61.15143131156618,8052200
2015-02-25,60.96613693237305,61.151419770607106,60.72190104791907,60.940872259050245,9629700
2015-02-26,61.134559631347656,61.15983072480424,60.67978275550999,60.966124227363245,4424900
2015-02-27,60.83979797363281,61.18509892475167,60.806109605811514,61.10929849080397,6745300
2015-03-02,61.387229919433594,61.40407731802343,60.9240228392118,61.033511653846,6769900
2015-03-03,60.83137893676758,61.361956257419365,60.52819006056685,61.35353255935851,10144000
2015-03-04,61.12614440917969,61.210362113996666,60.30079548101567,60.65451369648639,9153500
2015-03-05,61.345115661621094,61.62303989984714,61.12615089095786,61.20194490571059,6252100
2015-03-06,60.140785217285156,61.19352261633804,60.06498478334578,61.05876914506768,12314900
2015-03-09,60.51136016845703,60.57031322113825,59.98078269432606,60.32607730991582,10306300
2015-03-10,59.83760070800781,60.25027199950176,59.795488638806546,59.980771462652704,12323900
2015-03-11,59.803916931152344,60.225011953909984,59.76180485871653,60.157635208172735,7525100
2015-03-12,60.59557342529297,60.59557342529297,60.02288391633939,60.08183696466988,7574200
2015-03-13,60.4776611328125,60.87349145622254,60.07341353578928,60.51134950346439,6480400
2015-03-16,61.81675338745117,61.82517708739467,60.780856758014544,60.999827978742694,13635100
2015-03-17,61.63990783691406,61.76623123692759,61.260918360668,61.59779575330833,10142500
2015-03-18,62.439971923828125,62.701048792109724,61.26932822841012,61.505140422393545,12886900
2015-03-19,62.80211639404297,62.88633412016179,62.33049198745704,62.43997438887145,9403900
2015-03-20,63.2564811706543,64.19392751615081,62.90177348408076,63.678754067062705,9544300
2015-03-23,63.0791130065918,63.41692609232678,62.83419400907382,63.06221848628209,4667800
2015-03-24,62.530174255371094,63.32404940035749,62.52172699289563,63.15513636771498,8467700
2015-03-25,61.39004135131836,63.02001513813045,61.37314682562936,62.707530846620315,15039100
2015-03-26,61.24646759033203,61.7532002995714,60.73974132446671,61.04377837266071,18253800
2015-03-27,61.685611724853516,61.922083463170104,61.314009597000805,61.415357389152895,8841600
2015-03-30,62.31058883666992,62.403489391248435,62.107899646395516,62.18390567648348,8008200
2015-03-31,61.22956085205078,62.63995056940596,61.22956085205078,62.065659258162185,8442900
2015-04-01,60.61304473876953,61.49137307887975,60.224554472766044,61.25490130334481,21829300
2015-04-02,60.79884338378906,61.077545012321195,60.50325367627272,60.67216023960424,7560100
2015-04-06,60.89173889160156,61.22111117322346,60.38501280013494,60.461018814337606,5746200
2015-04-07,61.035308837890625,61.49136424377001,60.98463816280571,61.043756098195345,5599300
2015-04-08,61.55048751831055,61.82074188115929,61.09443207287097,61.1704445354637,12577100
2015-04-09,62.015018463134766,62.116366311616076,61.48295675620208,61.56741007491557,8181400
2015-04-10,62.54707336425781,62.63153311715636,61.82921056824169,62.07412967622357,5084300
2015-04-13,62.20924758911133,62.86799229136613,62.183905802324205,62.589290627066575,6814800
2015-04-14,62.31058883666992,62.378154047885786,61.803862639297314,62.27680623106199,5878700
2015-04-15,62.47105407714844,62.77509108169001,62.35281818020151,62.65685518474308,6254600
