Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-01-02,171.5679931640625,172.77899298538057,170.52403658955419,172.36141035557725,121465900
2015-01-05,168.4696044921875,170.68278821688406,168.16059730063776,170.5157576469549,169632600
2015-01-06,166.8827667236328,169.3047414368141,166.08100228258024,168.77858312413545,209151400
2015-01-07,168.9623260498047,169.30474695472745,167.76804553154108,168.21902928309717,125346700
2015-01-08,171.96054077148438,172.1776919187798,170.36538463531008,170.382078766939,147217800
2015-01-09,170.58261108398438,172.39491930286397,169.96458381720143,172.37821241899996,158567300
2015-01-12,169.2462921142578,170.87487511725638,168.63662483635824,170.71619162518044,144396100
2015-01-13,168.77023315429688,171.609790544605,167.45901730037048,170.47396503975912,214553300
2015-01-14,167.75137329101562,167.95181763510263,165.8388495560327,166.74081724538297,192991100
2015-01-15,166.2146453857422,168.71178213503651,166.0977227226677,168.39442790304255,176613900
2015-01-16,168.3944549560547,168.55313846935184,165.82214321155243,166.0058806749895,211879600
2015-01-20,168.75352478027344,169.30473702264985,167.17506262700505,169.03747796806257,130991100
2015-01-21,169.6053924560547,170.08978992155744,167.8181389940472,168.28582958319117,122942700
2015-01-22,172.1276397705078,172.2612565848632,168.97906180774197,170.36543979855958,174356000
2015-01-23,171.18386840820312,172.12760947278807,171.05023887375302,171.86869747093579,117516800
2015-01-26,171.58473205566406,171.67660076110818,170.24847503711038,170.96671780414266,92009700
2015-01-27,169.32139587402344,170.4739151751004,168.4862306807398,169.51348030026801,134044600
2015-01-28,167.15000915527344,170.61594060279583,166.957924674005,170.51572482884936,168514300
2015-01-29,168.69508361816406,168.95398288370308,165.93067511368247,167.35046665592657,173585400
2015-01-30,166.57374572753906,168.84539676112405,166.30649941138321,167.50913969311802,197729700
2015-02-02,168.6365966796875,168.72846538378116,165.24582718177857,167.07484145370793,163107000
2015-02-03,171.0753173828125,171.08367719467464,169.16279377788402,169.53861574682628,124212900
2015-02-04,170.42385864257812,171.52628314674988,169.9645150991732,170.3069359900399,134306700
2015-02-05,172.14431762695312,172.2946540513569,171.01685179019157,171.09201363058602,97953200
2015-02-06,171.66824340820312,173.07967491471948,171.1420851500406,172.5117558395642,125672000
2015-02-09,170.89991760253906,171.74343015631203,170.49068192640013,171.0168402609196,87219000
2015-02-10,172.7205352783203,172.97943448477727,170.94162909463557,171.94383765894943,96164200
2015-02-11,172.82080078125,173.2550904345492,171.90212632435026,172.5535544324916,91087800
2015-02-12,174.4827880859375,174.54125579234753,172.85421778500717,173.62256857458416,97545900
2015-02-13,175.2010040283203,175.25111191546895,174.34913171595394,174.60804370557724,93670400
2015-02-17,175.4766082763672,175.65199862312664,174.63309578328025,174.8836352163465,76968200
2015-02-18,175.49331665039062,175.56847848095177,174.8335288213854,175.10078787708707,80652900
2015-02-19,175.3680419921875,175.7355168383215,174.7500276997019,174.89200430050573,91462500
2015-02-20,176.4203338623047,176.49549568565337,174.324060669093,174.9504346842225,140896400
2015-02-23,176.3953094482422,176.3953094482422,175.78562946272703,176.16981119683777,74411100
2015-02-24,176.89642333984375,177.0968676711407,176.01949691289124,176.3201570380288,72472300
2015-02-25,176.74606323242188,177.25551465217077,176.40364234919772,176.77111717571992,73061700
2015-02-26,176.53732299804688,176.81292919774938,175.9276428849398,176.65424568183428,72697900
2015-02-27,175.9359588623047,176.70430955627208,175.88585097368278,176.4370504921372,108076000
2015-03-02,177.04673767089844,177.10519262880246,175.98607392524576,176.03618181591037,87491400
2015-03-03,176.3201141357422,177.09682457986455,175.45154773202682,176.61242712147254,110325800
2015-03-04,175.57684326171875,175.79399445228825,174.59970113499938,175.71881987052947,114497200
2015-03-05,175.7689208984375,176.05287408438272,175.25946947960023,175.90253768125035,76873000
2015-03-06,173.29684448242188,175.33465037941033,172.96278337363646,174.90036074309776,188128000
2015-03-09,174.01502990722656,174.37414484347525,173.33854810183888,173.49723153640838,89818900
2015-03-10,171.1922149658203,172.72056930955918,171.1504541434772,172.63706040848672,157121300
2015-03-11,170.79132080078125,171.62648618367015,170.7077991650474,171.45109584607403,110145700
2015-03-12,172.9627685546875,173.02957057582964,171.37594656487508,171.42605445253832,93993500
2015-03-13,171.90208435058594,173.6559239274905,170.85812767018612,172.68714181322446,162410900
2015-03-16,174.1988525390625,174.29072127016624,171.92720095505723,172.63709685391507,136099200
2015-03-17,173.6810302734375,174.06519928313017,172.86255887369887,173.45553201076544,94510400
2015-03-18,175.7689208984375,176.4454028535006,172.56187598228146,173.20495692754463,228808500
2015-03-19,174.96719360351562,175.7773052568732,174.5746647511211,175.35137538759255,117917300
2015-03-20,176.51158142089844,177.02330695926102,175.73980095001528,175.92435854093287,177715100
2015-03-23,176.16763305664062,177.09880534338853,176.16763305664062,176.51996678669403,71784500
2015-03-24,175.17774963378906,176.50319012068343,175.11063661664897,176.04180892865648,77805300
2015-03-25,172.61077880859375,175.62241719398543,172.56884436018,175.38752796065447,159521700
2015-03-26,172.1996612548828,173.12243636523925,171.2349261116261,171.9396063346869,153067200
2015-03-27,172.5939178466797,172.77007827721621,171.8892377230447,172.08219240477024,118939000
2015-03-30,174.69955444335938,175.0015565861097,173.61738756546103,173.63415621747657,96180400
2015-03-31,173.1727752685547,174.57373864731494,173.11405938109993,173.86905839436707,126768700
2015-04-01,172.56040954589844,173.1644139569891,171.56212412199855,173.13924817323536,137303600
2015-04-02,173.18118286132812,173.63417973656405,172.30872641943006,172.4932840205816,86900900
2015-04-06,174.3472137451172,174.86732354767153,172.1493171725195,172.28353038574508,114368200
2015-04-07,173.8857879638672,175.12734636208148,173.85223786683213,174.37234757409186,81236300
2015-04-08,174.4730682373047,174.9176807725751,173.71806920018486,174.11235017304716,89351900
2015-04-09,175.24484252929688,175.47973167922473,173.81034184941603,174.30528592958552,85548900
2015-04-10,176.20123291015625,176.2431801566361,175.2952389488044,175.49656525110373,72722900
2015-04-13,175.40426635742188,176.69616971835387,175.3539347876065,176.05860236602345,74436600
2015-04-14,175.73983764648438,175.92439527593967,174.57377596974487,175.20294621547845,75099900
2015-04-15,176.5283660888672,177.04009167365342,176.12570076328947,176.20959523968062,99529300
2015-04-16,176.47802734375,176.98975290771818,175.99146756157538,176.1928066164233,68934900
2015-04-17,174.44789123535156,175.52167383265424,173.65932934034842,175.27840036316306,191113200
2015-04-20,176.04177856445312,176.37733079177733,175.2951639782343,175.3790456348169,92189500
2015-04-21,175.83209228515625,176.88909354447563,175.5300900967079,176.72970172272517,72559800
2015-04-22,176.6961669921875,176.88072461233034,175.24487181556427,176.17604424428464,78264600
2015-04-23,177.14071655273438,177.79505231840332,176.17598155427643,176.2934261070761,102585900
2015-04-24,177.5518035888672,177.820255652251,177.09880673253062,177.56020071615976,61327400
2015-04-27,176.81353759765625,178.2480379169867,176.62058292974996,178.12220904704384,79358100
2015-04-28,177.37559509277344,177.42592664090435,175.60552978069543,176.7883723637537,86863500
2015-04-29,176.64581298828125,177.24980454053795,175.83208525749905,176.47802404546087,125684900
2015-04-30,174.8756866455078,176.46119432266158,174.17100661083248,176.06691348438306,161304900
2015-05-01,176.7716522216797,176.8135994598353,175.5636434455976,175.66430657677114,103399700
2015-05-04,177.27496337890625,177.86218621188007,177.09040580275763,177.1994532428471,70927200
2015-05-05,175.24484252929688,177.39242058656356,175.10223217401915,177.03168973456812,113326200
2015-05-06,174.52337646484375,176.1088844712023,173.44959394204525,175.7984980108535,135060200
2015-05-07,175.2196807861328,175.64752466232233,174.08718224442282,174.4227345233371,88244900
2015-05-08,177.52664184570312,177.72798089782032,176.8219743640418,176.9058688358821,155877300
2015-05-11,176.6793975830078,177.753180464057,176.6039002243016,177.48474114404553,75708100
2015-05-12,176.15084838867188,176.6961368280068,175.00995275005405,175.84046189891876,119727600
2015-05-13,176.18441772460938,177.1910873717687,175.94952856695548,176.56191724223174,94667900
2015-05-14,178.02159118652344,178.11386998142814,176.93102710142207,177.20786348613618,95934000
2015-05-15,178.2145233154297,178.35713366326868,177.7279635872448,178.2145233154297,76510100
2015-05-18,178.7681884765625,179.01984625590606,177.97962663329295,178.0467396412837,74549700
2015-05-19,178.70950317382812,179.16251288760364,178.4242824210068,178.88567646262982,72114600
2015-05-20,178.58363342285156,179.33863237252297,178.2648498305248,178.8101254274544,76857500
2015-05-21,179.103759765625,179.3134831377159,178.2732506039655,178.44103954203723,64764600
2015-05-22,178.67591857910156,179.13729973118168,178.60880556777218,178.7178530107466,57433500
2015-05-26,176.7548370361328,178.6087970846197,176.33539033561968,178.18095325777796,124308600
2015-05-27,178.43264770507812,178.6675368647441,176.8051922413215,177.21625467098656,93214000
2015-05-28,178.2312774658203,178.34032489128802,177.53499448562124,178.12221723985658,74974600
2015-05-29,177.12399291992188,178.20616002392984,176.85555362611,178.1642255846314,124919600
2015-06-01,177.4846954345703,178.13063418225912,176.68773640735964,177.79508191853762,93338800
2015-06-02,177.3085174560547,178.00480054521603,176.39412668132996,177.0232967594338,91531000
2015-06-03,177.77825927734375,178.40742922642855,177.28331532284926,177.84537227463892,87820900
2015-06-04,176.2767333984375,177.7280158833635,175.95794970329126,177.0652955071666,151882800
2015-06-05,175.9746856689453,176.65418732725203,175.3119526635732,176.12568034834752,121704700
2015-06-08,174.8925018310547,176.01662877574353,174.81700449312356,175.86562129938312,89063300
2015-06-09,174.8673553466797,175.41264382640088,174.22980086630517,174.8673553466797,105034700
2015-06-10,176.96458435058594,177.35048099953426,175.58041517165012,175.63913106141447,134551300
2015-06-11,177.53506469726562,177.92094860244583,177.17433377668303,177.40922297127125,73876400
2015-06-12,176.17604064941406,177.40921526770518,175.89920422484866,176.70454771453896,135382400
2015-06-15,175.4209747314453,175.70619537523953,174.31362945483858,175.02669386481978,124384200
2015-06-16,176.3773651123047,176.4612595857089,175.0938590323169,175.27001950576653,85308200
2015-06-17,176.66256713867188,177.27496856859182,175.63073178763267,176.66256713867188,126708600
2015-06-18,178.4996795654297,178.96945767117208,176.69606445220583,177.2665056376092,165867900
2015-06-19,177.7073516845703,178.3311570920234,177.32801594687112,178.2552925170361,130478700
2015-06-22,178.61773681640625,179.20781596612338,178.4069933441672,178.63459989575838,70696000
2015-06-23,178.74424743652344,179.0814448412158,178.34806138800428,178.828550003388,68476800
2015-06-24,177.4460906982422,178.8538562400596,177.42080249818542,178.474520376441,92307300
2015-06-25,176.90655517578125,178.0782887267389,176.83069058954106,177.95184774967194,97107400
2015-06-26,176.87283325195312,177.5134889424864,176.3164672544362,177.26901924838165,104174800
2015-06-29,173.16375732421875,176.88127660545427,173.08789273385037,175.38078356970775,202621300
