,Open,High,Low,Close,Volume,SMA_10,SMA_30,RSI,MACD,MACD_Signal,MACD_Diff,Bollinger_High,Bollinger_Low,Bollinger_Mid,ATR,OBV,Daily_Return
2015-02-23,0.00047018235816724454,0.0004148136152849124,0.0004606026807987126,0.0004343955013035956,0.01993143761262251,0.00031885660014099827,6.94201017430035e-05,0.6816197056402061,0.3468115269446739,0.3115660061713107,0.47058559147849605,0.00041819307680177444,0.00016056450153246202,0.00015469564622033792,0.00016718332750169265,0.018632158594024496,0.36962935396047264
2015-02-24,0.0004565325929013712,0.0004251931716166067,0.000459707882134982,0.0004725492300952203,0.026619566650551575,0.000352150331980345,8.331433654989572e-05,0.711782520192776,0.34683370068977964,0.31163006533278764,0.4704954960922631,0.00044705447724248957,0.000159646378404005,0.0001696349236801637,0.00013430718221525738,0.019978933428398564,0.4081429915416412
2015-02-25,0.0004662417031070392,0.00042677341027176196,0.00047292796631221747,0.0004449483440936439,0.019605107018854658,0.0003732117233974574,9.765744403311379e-05,0.6653229052538283,0.34681759020331115,0.3116775654798294,0.4703395706477034,0.0004644073109706004,0.00018640367791078255,0.00019146664611696413,8.866861369283795e-05,0.018862422139985666,0.3705299161789162
2015-02-26,0.00045653101982102854,0.00042835351958315886,0.0004696218472602146,0.0004546889353373852,0.027583175844943526,0.0003975799427033246,0.00011251100041529327,0.6739683267828683,0.3468012542604768,0.31171176597580974,0.4702143365033437,0.00047297988737871445,0.000229897530255986,0.00021649694693436604,5.276623903456546e-05,0.020240829356848445,0.39180144373005193
2015-02-27,0.00045329363426615307,0.000406220940361138,0.0004630108837032649,0.0004319591483716717,0.028854436777567792,0.0003950188611641257,0.00012611687947674177,0.6338448124632899,0.34675920150610384,0.31172934520736195,0.4700578248911796,0.00048041549993053326,0.0002637626626628806,0.00023639122732026707,0.0,0.01882069047916532,0.37323515135848234
2015-03-02,0.0004306371068018267,0.0004900080251928553,0.00046135920184011336,0.0005196304951702872,0.06841515404562036,0.00040124548117013124,0.00014358162181100616,0.7119984414597711,0.3467849504945763,0.3117493976203039,0.4700811132281263,0.00048153794153000563,0.000324835136515135,0.00026572472387375754,6.5416096638336e-05,0.02153948834374253,0.43662821367675064
2015-03-03,0.0005002288976973714,0.00046155312679659315,0.00048449721558865757,0.0004514431428081279,0.02963784995385224,0.00039935284137938756,0.0001566244199009549,0.6023802821450975,0.3467400399553522,0.3117549936854255,0.4699449872244067,0.0004736573305524727,0.0003810515034673176,0.0002879784060868646,7.003057804996012e-05,0.020093632375164934,0.3479535186270141
2015-03-04,0.000446822451301379,0.00045206823948361775,0.0004679711898230958,0.0004920320194106878,0.047903573155188325,0.0004058992222586181,0.00017074761932938396,0.6392650554135137,0.34672646478170005,0.3117563130507296,0.46990471633009206,0.0004750003228569644,0.00042255390923529165,0.0003082212969153413,6.999916284982895e-05,0.022139096925831887,0.40943173127365945
2015-03-05,0.0005002277808409368,0.0005184635067377072,0.0005274649535340027,0.0005618422680374758,0.07433305498176065,0.0004185834530951488,0.0001857287334844854,0.6959921206410462,0.34676074695430903,0.31176534232732556,0.4699773155388426,0.0004812432603506153,0.000465333247445921,0.00033167466541100636,8.292256386852547e-05,0.02505216162288824,0.42569679430367663
2015-03-06,0.0005487788578387477,0.0005089776322600202,0.0005539067772937947,0.0005115123984841784,0.05629587307168285,0.0004234855780306363,0.00019696916940110465,0.6199580414633468,0.34673694629638885,0.3117670298884376,0.46990818338999785,0.00048009180820089443,0.000505018729706369,0.0003497341468458419,5.174858446041703e-05,0.02273120318687489,0.3582966661884281
2015-03-09,0.000521268421879423,0.0004994947974340195,0.0005506034939921746,0.0005212553999698966,0.04668065749571485,0.00043235548621983625,0.00020821098944778533,0.6285916950440568,0.3467155062189724,0.31176339313104245,0.469858047753396,0.0004701143107763658,0.0005573808422784051,0.00036905755399538505,9.848479839462453e-06,0.024736523106173615,0.39170134327845046
2015-03-10,0.0005455425527913994,0.0005579855510707793,0.0005770443698518298,0.0005845716532961931,0.1304124730804729,0.00044379492633179855,0.00022217679150749944,0.6819965011898486,0.34673860611019774,0.3117658565920476,0.46991548953350293,0.0004571821420677165,0.0006204442431256953,0.00039184248346239197,2.9225462759432247e-05,0.029490505898830226,0.42173961310666763
2015-03-11,0.0005924776796260929,0.0005817001740457736,0.0006018360185454114,0.0005650912742227025,0.05759460290950644,0.00045606361160761485,0.00024106205176915385,0.6510235122105315,0.3467307388273104,0.31176599748799333,0.46989361945235597,0.00044969139686238616,0.0006650041367346616,0.00040881922384210234,3.426730302440433e-05,0.02712691408071692,0.3754787463486387
