,Open,High,Low,Close,Volume,SMA_10,SMA_30,RSI,MACD,MACD_Signal,MACD_Diff,Bollinger_High,Bollinger_Low,Bollinger_Mid,ATR,OBV,Daily_Return
2015-02-23,0.006752169504397804,0.006916970518819621,0.007132589121024768,0.007746138802293842,0.19798364237490104,0.004222962493144633,0.00425062209702351,0.47671357927112695,0.4937497582093103,0.43715109585681255,0.6246349960440258,0.004797552262640753,0.004326934217813869,0.0020674989077884565,0.020014600479637268,0.14947401185399795,0.5318503934568425
2015-02-24,0.0076564553646144146,0.007137489573134453,0.007678110220253331,0.007625706854581624,0.14139334981485618,0.00463825155007469,0.0040569091572345145,0.4682474807889106,0.4968837898174991,0.4410434824292503,0.623844929335423,0.0033872416345598344,0.005293411576123647,0.0017990131638148804,0.017049423587170334,0.14330548758647862,0.5043219058141652
2015-02-25,0.007254576333180274,0.006716495595967445,0.007435682220090001,0.007425069877720833,0.1764394913112806,0.004984311416571241,0.003897214265923016,0.45348394484156523,0.4991260510941431,0.44467057037720537,0.621105110917977,0.0037434689297987656,0.005257150646947539,0.001968277093929341,0.01374763857230496,0.13604147097910668,0.5011849212551399
2015-02-26,0.007334948828576784,0.006997170651529772,0.00761752061265035,0.0075655308677220895,0.17017302475508073,0.005389400680738121,0.0037591062847556755,0.4629770470405518,0.5011458473873597,0.44803450462364813,0.6183874437629788,0.0039946328171644035,0.005659029039214281,0.0022962376734056156,0.010986360690288327,0.14310960678998752,0.5145112545118433
2015-02-27,0.007616305509149476,0.00693704335320483,0.00715281060686683,0.00714412123972058,0.20804825140204872,0.005607241830388965,0.0036341050405256786,0.4291853306603675,0.5021417967065667,0.450953591544294,0.613793372087911,0.0042255527102472434,0.005864956578782637,0.0025179378637505967,0.009641003210985807,0.13485754547717466,0.49255643994980924
2015-03-02,0.006691899546009475,0.006916993150822906,0.0069305510456850045,0.007204332770577082,0.19333903887629958,0.0056727321842072465,0.003544577838827473,0.43383456933465164,0.5030327202307991,0.45349276370885067,0.6098698785235459,0.0040017901509652315,0.006906037722171604,0.002908607963703874,0.009001074142077736,0.14264981781011177,0.5113793268850847
2015-03-03,0.006470839587107521,0.006195215461986217,0.006001082047290857,0.00600025321543439,0.19196939621716255,0.005611341320657312,0.003360197709308635,0.33943332068455495,0.5019713844938339,0.455281197150606,0.6021167747016452,0.003810752959109154,0.007598635610035029,0.003146373158858809,0.009320914749829004,0.13490035855094978,0.4617932509344907
2015-03-04,0.005365578472113414,0.004952170502471487,0.0055767762158265705,0.00555877900114686,0.145118090683775,0.005515160065888827,0.0031499848471201602,0.3081213760969013,0.5005144178684392,0.45637849292218713,0.5949791888154503,0.0036065853626092576,0.008191041677515096,0.0033283475035712218,0.007241391451369969,0.12861540420252549,0.4914619724479518
2015-03-05,0.005486132682561692,0.005012300316330612,0.00545551696439199,0.005659093046577621,0.12516534882159194,0.005435346868750121,0.0029759495305531763,0.3174858215885696,0.49956107912999226,0.4570381421542337,0.5904594818185273,0.0034085916535945004,0.008736780088428,0.0034907855638733887,0.005432328876198829,0.13427666433139332,0.5130254193548556
2015-03-06,0.0053454558540158015,0.004751651449311528,0.004101738712432176,0.004154009153147925,0.22711002275449663,0.0051283789585260114,0.002665271838418262,0.2167613819875353,0.4966515824019492,0.4568999749480526,0.5822201923180247,0.0033719521610628966,0.008820815820229547,0.0035125701863413517,0.007042927757476149,0.1254287592649176,0.4489337698560966
2015-03-09,0.0037177208234036724,0.00479177205289677,0.004182576244960212,0.005137342715147639,0.19477583619261205,0.004862342519438331,0.0023854282929414578,0.30729395069906446,0.4959031983048196,0.456618161067545,0.5807367100546234,0.003276990964426754,0.009080172345265633,0.0035893122948797707,0.008416615152776516,0.1332659438303212,0.5489656601059494
2015-03-10,0.004039239403011957,0.00394968967201062,0.0038592743712239502,0.0034917800597182025,0.2498403124721816,0.004440778270176637,0.0020599888178168546,0.2102905521921426,0.49298931413065544,0.4557258192314924,0.5744316048539091,0.00328519942621186,0.009064826862662634,0.0035861309011221837,0.008960994817493378,0.12370752236446111,0.4429273194972888
2015-03-11,0.0039588316151785985,0.003267986578801202,0.0034753403379754327,0.0033914126982919623,0.19561370767109212,0.004029439186296918,0.0020334814166927395,0.20490835171592786,0.4906850618256884,0.4544845793974453,0.5708284306475605,0.0033586825769466033,0.008917996410106918,0.0035530356773095934,0.007699357258853658,0.11584414713305938,0.5049066750976761
