,Open,High,Low,Close,Volume,SMA_10,SMA_30,RSI,MACD,MACD_Signal,MACD_Diff,Bollinger_High,Bollinger_Low,Bollinger_Mid,ATR,OBV,Daily_Return
2015-02-23,0.013895936858338287,0.011178709946774723,0.026114898782383156,0.01337667394370115,0.10228879309465475,0.006126998382196908,0.0,0.662345634757669,0.6662475615501389,0.6362752434994178,0.5479645230058245,0.011462314137014595,0.0,0.0004920408802168985,0.031400759268093895,0.10462448711132276,0.49473888017479073
2015-02-24,0.014660474279905411,0.011617622286187679,0.026931120398290348,0.012892855047656082,0.15105544799671952,0.006811290439436818,0.0003824620031137871,0.6447346214347673,0.6671122676572366,0.638658123858514,0.544467088536944,0.012329308797339733,0.0006289295751418233,0.0012482642509637487,0.028319095392461538,0.09804198820983713,0.4873852478440975
2015-02-25,0.012366907804923749,0.01199383542747845,0.027010953916140168,0.01337667394370115,0.1061241893135253,0.007627868252022829,0.0007972471074484122,0.6554768493900371,0.6678190207274112,0.6407337693486924,0.5412760588731668,0.01268256993439315,0.00235787192129,0.002284286476233438,0.025947220737942145,0.10302172591415389,0.5018424788235912
2015-02-26,0.014111892412474292,0.01223574671424782,0.027685258651570482,0.01403974974520103,0.24111381538279497,0.008336683842396803,0.0012114600365829842,0.6706072713778695,0.6685692587697416,0.6425740461379416,0.538831451888172,0.011995513310074923,0.0056680502075711625,0.0035674590048119514,0.023017732388556575,0.11281673345566055,0.5045037475450581
2015-02-27,0.014354749780780857,0.011958088573310072,0.027055390365932408,0.011853614349774472,0.1290223207819312,0.008373219879643429,0.0017110386775239517,0.5833942838066914,0.6665588334468778,0.6435645606523361,0.5300055766358878,0.01052053268712927,0.009416889619871943,0.0046626987543262055,0.020890993936297134,0.10702018719354214,0.4620647608656593
2015-03-02,0.01726891457661245,0.01563061560251902,0.029832244412292458,0.018107443860700623,0.20426953042917675,0.009164230700051706,0.0025004258248536304,0.7174662723611334,0.6706616683426847,0.6453400298915896,0.5381583420448746,0.01086533943446899,0.011282121007508583,0.005761740978923985,0.024999632964747012,0.11550090726588472,0.5885359467425118
2015-03-03,0.019013807645554853,0.01595304811578832,0.028998277897926722,0.015428473124570324,0.14619999959197913,0.009568863757012325,0.00314170645690251,0.6245338280700088,0.6707721431389887,0.6467868755392756,0.5347451629594309,0.010168519635727236,0.013911034375325315,0.006703172764508714,0.0260994794420836,0.10909160903863001,0.45537917985860793
2015-03-04,0.015865781612895286,0.012817971559984181,0.027889318644078676,0.01403974974520103,0.13016477923010542,0.009991771569419383,0.003677099326300365,0.5795597137121773,0.6690151469710144,0.6475233679016645,0.5273672295460472,0.009641182913139507,0.015804985051915632,0.007368399650264118,0.024004816089608305,0.10325430967669255,0.4740511067714504
2015-03-05,0.015730896432100905,0.012809057818392255,0.029220105810643715,0.014380245351556548,0.10435337871885528,0.01045122140736024,0.004210669618207263,0.587412631580468,0.6675060217643393,0.6477509686289675,0.5220817347422596,0.009706681014518104,0.016643480320589238,0.007816484281159525,0.01959680459680603,0.10817088007628979,0.4996751902301061
2015-03-06,0.014291767688934892,0.012217845760244983,0.025227797570697097,0.010088549856863943,0.20298834488372425,0.010116908806926839,0.004586805878552647,0.4565751505955375,0.6616785742456199,0.6465367666698347,0.5071067575922451,0.009652258755172088,0.016516601587251933,0.007725816442435002,0.021201295059550526,0.09973586169445858,0.43081079087063157
