Unnamed: 0,Close,High,Low,Open
2015-02-23,0.3475161586150669,0.3529939268497724,0.3687722360719352,0.360735633014603
2015-02-24,0.3316997225482729,0.3520968763237771,0.3512010627444407,0.352537108957873
2015-02-25,0.3274671420591959,0.3278761913075071,0.3478647670320137,0.3297141442336844
2015-02-26,0.337937191415003,0.332585746670782,0.3409697452871897,0.3224019371072765
2015-02-27,0.334818470259572,0.3388652072908814,0.3563167214730662,0.3412363964010868
2015-03-02,0.3530853490598247,0.3471630182272037,0.3574288465583966,0.3390205776606386
2015-03-03,0.3615504569262425,0.3556851318968245,0.3734430341606201,0.3580766293943507
2015-03-04,0.3617732075482772,0.3572549836845828,0.3812277506708041,0.3642809535651774
2015-03-05,0.3593227913706866,0.3608432392576302,0.3776690246384068,0.3658320214005626
2015-03-06,0.3878369423488434,0.3859609747998954,0.3796708179745759,0.360292448134799
2015-03-09,0.3778124207929739,0.3767660598685116,0.3990213278037475,0.3835585713241486
2015-03-10,0.3624415125261175,0.3637586935689145,0.3823398757561345,0.3709284097865221
2015-03-11,0.3586544863928461,0.3637586935689145,0.3781138852783476,0.3693773419511371
2015-03-12,0.3557585158594498,0.3554608291635259,0.3656583706794786,0.3554176786033844
2015-03-13,0.3593227913706866,0.3577034822130472,0.375444827496789,0.3596277500590218
2015-03-16,0.3562040702152556,0.3514240750620141,0.3707740294081041,0.3565255615589655
2015-03-17,0.3472934079930322,0.3440233146516872,0.36476870242864,0.3472191545466544
2015-03-18,0.3234573387480218,0.339986507081109,0.3438612068741973,0.3416795812808909
2015-03-19,0.3292492798148143,0.3254092622592204,0.3396352163964102,0.3219587786421155
2015-03-20,0.3187792304590072,0.3184570271118911,0.340080077036351,0.3261688236831099
2015-03-23,0.3154377321256734,0.3141959970116138,0.3360765168785344,0.317305548721317
2015-03-24,0.3071953748812903,0.3099349401768035,0.3274021321175118,0.3144249790758056
2015-03-25,0.3165515649034514,0.3106077414385665,0.3233985719596952,0.3057832701392716
2015-03-26,0.3359322764814819,0.3298945950927962,0.338967978465542,0.3192997750218632
2015-03-27,0.3227890337701813,0.3247364609974574,0.3438612068741973,0.3323731214392936
2015-03-30,0.3261305586593834,0.3220452826849385,0.3431939424288076,0.3281630763982992
2015-03-31,0.3196703126147504,0.3206997068959456,0.3403024808418,0.3224019371072765
2015-04-01,0.3049677093257344,0.3047768328159979,0.3233985719596952,0.3119875678954554
2015-04-02,0.3129873159480827,0.30746803786305,0.3240658364050848,0.3042322023038865
2015-04-03,0.3129873159480827,0.30746803786305,0.3240658364050848,0.3042322023038865
2015-04-06,0.3129873159480827,0.3079165631260476,0.3213968051380476,0.3015732250982771
2015-04-07,0.3105368732146241,0.3117290679633271,0.3311832619553579,0.3166407978162538
2015-04-08,0.3109824010145616,0.3110562667015641,0.3298487595791,0.3119875678954554
2015-04-09,0.3250166993257372,0.3200269056341825,0.3291814951337104,0.3093285906898461
2015-04-10,0.3234573387480218,0.3180085018488934,0.3383007140201525,0.3230666880123397
2015-04-13,0.3207841453925283,0.3215967574219409,0.3414145794126091,0.3297141442336844
2015-04-14,0.3129873159480827,0.3110562667015641,0.3240658364050848,0.317748707186478
2015-04-15,0.3120962337923396,0.3094864149138058,0.3278469662429311,0.316862390256156
2015-04-16,0.3071953748812903,0.3112805427003295,0.327624562437482,0.3095501831297481
2015-04-17,0.3009579060145602,0.3079165631260476,0.3218416392634668,0.3044537947437885
2015-04-20,0.3109824010145616,0.3058981593407585,0.3236210022796655,0.3095501831297481
2015-04-21,0.3156605093035762,0.3097106909125713,0.3262900335467028,0.3068911795094958
2015-04-22,0.3281354470370363,0.3236151344726968,0.3320729567207179,0.3148681375409667
2015-04-23,0.3225662831481466,0.3254092622592204,0.3438612068741973,0.3288278273033623
2015-04-24,0.315883286481479,0.3186813031106565,0.3356316562385938,0.3261688236831099
2015-04-27,0.3174426470591945,0.3164386500611352,0.3356316562385938,0.3210724352971505
2015-04-28,0.3283582242149391,0.3254092622592204,0.3398576467163807,0.3199645259269263
2015-04-29,0.34216977190408,0.3460417184369762,0.3552046229022574,0.3416795812808909
2015-04-30,0.3446201880816706,0.3525453748522416,0.36298931289792,0.343452215141535
2015-05-01,0.3604366507043327,0.3556851318968245,0.3692170967118758,0.3507644222679429
2015-05-04,0.3644464274596387,0.3597218859983363,0.375667231302238,0.3622867008499882
2015-05-05,0.3735798934156332,0.3727293057669997,0.3823398757561345,0.3673830892359478
2015-05-06,0.3878369423488434,0.3843911230121371,0.3967971306621296,0.3797916847483152
2015-05-07,0.3753620046153833,0.383718321750374,0.3972419913020704,0.3822291223433084
2015-05-08,0.3677879523488407,0.3727293057669997,0.3787811497237372,0.3753600472674187
2015-05-11,0.3954109946153861,0.3902220316347057,0.3947953903550034,0.3746952963623556
2015-05-12,0.3922922734599551,0.4030051486700706,0.4083629770101599,0.4101484490388137
2015-05-13,0.3971931589268725,0.3926889339484593,0.398354063358358,0.386217574944401
