,Close,High,Low,Open,Volume
2015-02-23,0.3411672777034933,0.344261227605585,0.34634770270254345,0.3435865553930636,0.035247761733259574
2015-02-24,0.3416523345591126,0.3481340884396815,0.3487950202544323,0.3475122282064974,0.023937881747259325
2015-02-25,0.3547495578349176,0.351038804087597,0.35222141693764475,0.34800302147235407,0.043085929120612376
2015-02-26,0.34747322857241614,0.3500705795852487,0.3507528802208798,0.3534007389399382,0.01742630372686936
2015-02-27,0.3571748950494823,0.35636404778244424,0.35809516952457165,0.35536368887937864,0.017756539803326074
2015-03-02,0.3445627815657645,0.3505547039942374,0.34928450804303024,0.3538914650418401,0.03145428064985944
2015-03-03,0.34989856578698086,0.3476498496379029,0.3532002108389318,0.349474918120515,0.035374775608819846
2015-03-04,0.34213749728766774,0.3423248660178141,0.34536876442030073,0.347021576955718,0.0322304765560611
2015-03-05,0.3387418875524608,0.3418406709263979,0.3439002259694308,0.3455493292645845,0.02565680286317501
2015-03-06,0.3280701073641562,0.33167428281219424,0.3336212568247716,0.3367164836183638,0.20095570885032688
2015-03-09,0.3256447172131238,0.3287696027895576,0.33166326893961584,0.331318662932065,0.02669267158163323
2015-03-10,0.3144879331056678,0.3132780363606096,0.3179578713167437,0.3161064792624102,0.03516308581621939
2015-03-11,0.31885355067917764,0.315698552388637,0.3174684675423183,0.317087920935621,0.02979463267587188
2015-03-12,0.31497283115188335,0.32053960110526836,0.3194262378442495,0.32542996542592606,0.022896367967665088
2015-03-13,0.29799515303112367,0.3074685607279979,0.3052314465328758,0.31267140855341213,0.044866945909024195
2015-03-16,0.29702514519282086,0.2943976815173941,0.2939735620716647,0.29647803333791933,0.043845189843406004
2015-03-17,0.2912040394336455,0.29004063912952016,0.2954419117159005,0.2920614835649701,0.029227304031702664
2015-03-18,0.31351771352149327,0.30988922608065084,0.2934839494730489,0.2886264953750175,0.051601503844286634
2015-03-19,0.2994504824073855,0.2992388018825358,0.30278415484476084,0.3004037189574542,0.02344111636729026
2015-03-20,0.3106072665148414,0.30988931972476474,0.3130632237027977,0.3072737644543104,0.031680083095299925
2015-03-23,0.32030877418250336,0.3176349989094964,0.3204052605821359,0.3151250675499867,0.032007496641188626
2015-03-24,0.31351771352149327,0.31327799687101154,0.3199157871037708,0.3180693392888323,0.03324094249940727
2015-03-25,0.3159430507360578,0.31763499352225777,0.31942627751941244,0.3180693183795493,0.034014315875040925
2015-03-26,0.326129774068743,0.3253807985785435,0.3297053734546018,0.3278836478734536,0.037926343242297315
2015-03-27,0.30915199007504746,0.3171508856176858,0.3164894531987138,0.3215043151718284,0.0096078940534926
2015-03-30,0.31351771352149327,0.31230975026317165,0.31502099198395717,0.3121807330675811,0.018577896198615836
2015-03-31,0.30381625879029894,0.3094052660971357,0.31061584883469173,0.3077644660061688,0.055530466394951065
2015-04-01,0.31885355067917764,0.3195714466269871,0.3120841833741862,0.30776433307023343,0.043980671310670294
